Date,Task,Project,Count
2016-06-09,,,
,Code Model Loader,32 A/B: Viewport expansion,3
,Presentation and design,32 A/B: Viewport expansion,11
2016-06-10,,,
,Code Model Loader,32 A/B: Viewport expansion,3
,Arms day,Habbit,1
,Weekly review every week,Habbit,1
2016-06-12,,,
,Pomodoro Coding,ML related,2
,Core strength,Habbit,1
,Cooking,Habbit,1
,Gym treadmill run,Habbit,1
,"Errands, Email, calls",Habbit,5
2016-06-13,,,
,Competitive analysis,Other work projects,9
,Pomodoro Coding,ML related,1
2016-06-14,,,
,Competitive analysis,Other work projects,14
,Core strength,Habbit,1
2016-06-15,,,
,Code Model Loader,32 A/B: Viewport expansion,2
,Competitive analysis,Other work projects,1
2016-06-16,,,
,Code Model Loader,32 A/B: Viewport expansion,6
2016-06-17,,,
,Code Model Loader,32 A/B: Viewport expansion,3
,Core strength,Habbit,1
,Gym treadmill run,Habbit,1
2016-06-19,,,
,Hike,Health goal,2
,One intentional life,Podcast ,1
2016-06-20,,,
,Code Model Loader,32 A/B: Viewport expansion,1
,Code Pick scope strategy,32 A/B: Viewport expansion,2
,Weekly review every week,Habbit,1
2016-06-21,,,
,Code Pick scope strategy,32 A/B: Viewport expansion,7
2016-06-22,,,
,Biking stationary,Habbit,1
,Chest,Habbit,1
,Getting ready for first Pomodoro,Bad habbits,1
,Cooking,Habbit,1
,Code Pick scope strategy,32 A/B: Viewport expansion,13
,"Errands, Email, calls",Habbit,1
2016-06-23,,,
,Code Pick scope strategy,32 A/B: Viewport expansion,16
2016-06-26,,,
,Hike,Health goal,7
,Cooking,Habbit,1
,One intentional life,Podcast ,2
2016-06-27,,,
,"Errands, Email, calls",Habbit,3
,Weekly review every week,Habbit,1
,Getting ready for first Pomodoro,Bad habbits,1
2016-06-28,,,
,Pocket Health,Reading,1
,Getting ready for first Pomodoro,Bad habbits,1
2016-06-29,,,
,Getting ready for first Pomodoro,Bad habbits,1
,Device expansion strategy,32 A/B: Viewport expansion,2
2016-07-01,,,
,Getting ready for first Pomodoro,Bad habbits,1
2016-07-03,,,
,Lean in by Sheryl,Reading books ,4
,Beyond ToDoist podcast,Podcast ,1
2016-07-10,,,
,Cooking,Habbit,1
,Pomodoro Coding,ML related,1
,Daily Tasks,,1
2016-07-11,,,
,Cooking,Habbit,1
,Daily Tasks,,3
2016-07-12,,,
,Daily Tasks,,1
2016-07-13,,,
,Daily Tasks,,1
2016-07-15,,,
,Daily Tasks,,2
2016-07-18,,,
,One intentional life,Podcast ,1
2016-07-22,,,
,Gym treadmill run,Habbit,3
,Daily Tasks,,4
2016-07-23,,,
,Daily Tasks,,2
2016-07-29,,,
,Arms day,Habbit,2
,Biking stationary,Habbit,1
2016-07-30,,,
,Clean house,Habbit,3
2016-08-01,,,
,Gym treadmill run,Habbit,1
2016-08-04,,,
,Chest,Habbit,1
,Biking stationary,Habbit,1
2016-08-06,,,
,Lecture 2,Neural Networks Machine Learning,3
,Sort Pocket Read It later,Habbit,1
,Lecture 3,Neural Networks Machine Learning,7
,Lecture 4,Neural Networks Machine Learning,1
,Learning Spark,Reading,2
,Lecture 1,Neural Networks Machine Learning,2
2016-08-07,,,
,Meditation ,Exercises ,1
,Yoga,Habbit,2
2016-08-08,,,
,Arms day,Habbit,1
2016-08-10,,,
,Lecture 5,Neural Networks Machine Learning,2
2016-08-11,,,
,Chest,Habbit,1
,Learning Spark,Reading,2
,Legs day,Habbit,1
2016-08-12,,,
,"Lecture 9 improve generalization, Full Bayesi...",Neural Networks Machine Learning,1
,Lecture 6 Mini Batch,Neural Networks Machine Learning,2
,"Lecture 7 Model Seq, RNN, LTSM",Neural Networks Machine Learning,5
,Lecture 5,Neural Networks Machine Learning,1
2016-08-13,,,
,"Lecture 9 improve generalization, Full Bayesi...",Neural Networks Machine Learning,3
,"Lecture 10 Mixture of models, Bayesian learni...",Neural Networks Machine Learning,2
,Cooking,Habbit,2
,Recap all,Neural Networks Machine Learning,1
2016-08-14,,,
,One intentional life,Podcast ,1
2016-08-15,,,
,Lecture 1: Introduction,Convolutional NN for Visual Recognition,2
,Gym treadmill run,Habbit,1
,Core strength,Habbit,1
,Planning,Deep Learning,2
,Lecture 2: Image classification KNN etc,Convolutional NN for Visual Recognition,2
2016-08-16,,,
,"Lecture 4: Backprop, Neural N/W 1",Convolutional NN for Visual Recognition,2
,"Lecture 3: Linear classification, Loss functi...",Convolutional NN for Visual Recognition,3
,Getting ready for first Pomodoro,Bad habbits,1
,Gym treadmill run,Habbit,1
2016-08-17,,,
,"Lecture 4: Backprop, Neural N/W 1",Convolutional NN for Visual Recognition,3
,"Lecture 5: Training Neural net, activation fu...",Convolutional NN for Visual Recognition,2
2016-08-18,,,
,Arms day,Habbit,1
2016-08-20,,,
,Lean in by Sheryl,Reading books ,1
2016-08-21,,,
,HIIT,Health goal,1
,Lean in by Sheryl,Reading books ,3
,Beyond ToDoist podcast,Podcast ,1
2016-08-22,,,
,Gym treadmill run,Habbit,1
